gl_pSerPort now points to active Serial (USB or Wixel)
7950: Starting setup() for WallE3_Complete_V2.ino

Checking for MPU6050 IMU at I2C Addr 0x68
MPU6050 connection successful
Initializing DMP...
Enabling DMP...
DMP ready! Waiting for MPU6050 drift rate to settle...
Calibrating...Retrieving Calibration Values


Msec	Hdg
10516	-0.051	-0.039
MPU6050 Ready at 10.52 Sec with delta = -0.013
Checking for Teensy 3.5 VL53L0X Controller at I2C addr 0x20
Teensy available at 11616 with gl_bVL53L0X_TeensyReady = 1. Waiting for Teensy setup() to finish
11619: got 1 from VL53L0X Teensy
Teensy setup() finished at 11721 mSec
VL53L0X Teensy Ready at 11723

Checking for Garmin LIDAR at Wire2 I2C addr 0x62
LIDAR Responded to query at Wire2 address 0x62!
Setting LIDAR acquisition repeat value to 0x02 for <100mSec measurement repeat delay
Initializing Front Distance Array...Done
Initializing Rear Distance Array...Done

Checking for Teensy 3.2 IRDET Controller at I2C addr 0x8
11812: IRDET Teensy Not Avail...
IRDET Teensy Ready at 11914
Fin1/Fin2/SteeringVal = 10	38	-0.5714
11916: Initializing IR Beam Value Averaging Array...Done
11919: Initializing IR Beam Value Averaging Array...Done
Battery Voltage = 8.13

14126:	Top of loop() - calling UpdateAllEnvironmentParameters()
Battery Voltage = 8.12
IRHomingValTotalAvg = 58 
14263: gl_LeftCenterCm = 22.00 gl_RightCenterCm = 200.00

TrackLeftWallOffset(350.0, 0.0, 0.0, 40) called

TrackLeftWallOffset: Start tracking offset of 40cm with gl_ElapsedSec = 14.1


Sec	LCen	RCen	Front	Rear	FVar	RVar	HdgDeg	ANOMALYCODE
0.3	22.0	200.0	454	23.0	54124	3119	-0.1	NONE
0.4	22.0	200.0	476	26.0	47859	3074	1.5	NONE
0.5	23.0	200.0	459	27.0	42680	3040	6.1	NONE
0.6	25.0	106.0	404	31.0	39101	3007	14.6	NONE
0.7	29.0	91.0	357	31.0	37249	2987	24.7	NONE
0.8	31.0	102.0	267	38.0	38248	2960	30.7	NONE
0.9	35.0	105.0	259	48.0	40229	2921	32.1	NONE
1.0	38.0	104.0	253	52.0	42978	2885	30.8	NONE
1.1	39.0	84.0	324	50.0	44592	2863	25.1	NONE
1.2	40.0	200.0	288	48.0	47254	2854	17.5	NONE
1.3	39.0	200.0	403	54.0	48104	2842	7.1	NONE
1.4	38.0	200.0	610	58.0	48218	2831	-8.6	NONE
1.5	39.0	200.0	224	60.0	52378	2824	-13.8	NONE
1.6	40.0	200.0	154	61.0	57720	2822	-17.9	NONE
1.7	39.0	200.0	135	73.0	62410	2810	-19.1	NONE
1.8	38.0	200.0	137	78.0	65454	2799	-18.1	NONE
1.9	36.0	200.0	150	72.0	66244	2799	-15.9	NONE
2.0	34.0	200.0	197	74.0	63829	2801	-12.5	NONE
2.1	32.0	200.0	1000	85.0	70364	2797	-0.8	NONE
2.2	32.0	200.0	402	86.0	62582	2795	4.7	NONE
2.3	32.0	200.0	359	94.0	52588	2793	12.6	NONE
2.4	33.0	200.0	345	89.0	39868	2794	15.9	NONE
2.5	35.0	200.0	340	92.0	32019	2795	16.6	NONE
2.6	37.0	200.0	339	105.0	31487	2796	15.3	NONE
2.7	38.0	200.0	342	110.0	31029	2797	12.4	NONE
